name,business_id,city,state,stars,categories
Cook's Window Pizza,JpnTfmWmeo0YQEEFdam_MQ,Wellesley,MA,3.5,"Pizza, Food, Salad, Restaurants, Caterers, Food Delivery Services, Sandwiches, Event Planning & Services"
Glen’s Roast Beef,qJY1aVSuf7wu4S8v9tuV8g,Revere,MA,4.0,"Restaurants, Sandwiches"
Wong's Garden,P24YzPmXXQm_5ONlh9vLOw,Portland,OR,3.0,"Restaurants, Chinese"
Baoery Asian Gastropub,kDToKeMSUGjTXfOJjAoIBQ,Orlando,FL,3.5,"Tapas/Small Plates, Asian Fusion, Restaurants, Gastropubs"
Euromart,UUlbF6jIIH2Eyxg9N8-CAw,Dorchester,MA,4.5,"Restaurants, Delis, International Grocery, Food, Specialty Food, Beer, Wine & Spirits, Ethnic Food"
Subway,IuYzrw3LSEEBEFB85DeI9g,Woburn,MA,4.5,"Sandwiches, Restaurants, Fast Food"
Mythos Restaurant,AjskPkV-KD-Q95eaH3Rj-g,Orlando,FL,4.0,"American (New), Restaurants, Active Life, Amusement Parks"
Restaurant Laura,zm04Aa_Yty_iAJM2LrdBKg,Dorchester,MA,3.5,"Restaurants, Portuguese, African"
Aleppo Palace,uP6Ra6rYKsOVSTrtsPgQIw,Cambridge,MA,4.0,"Middle Eastern, Restaurants"
IHOP,2S5lVTm1AlNaxu8KtrS12A,ORLANDO,FL,2.5,"American (Traditional), Restaurants, American (New), Breakfast & Brunch, Burgers"
Jax Fish House Boulder,cD-D-vo3XKOOX0bxnBpmlA,Boulder,CO,4.5,"Restaurants, Seafood"
Yellowbelly,JXUkIkoeGYmFnVmInVW0iQ,Boulder,CO,3.5,"Chicken Shop, Restaurants, American (Traditional), Gluten-Free, Fast Food, American (New), Food"
Subway,Z20GQzNKBJI1QHXRxGr3Vw,Lake City,GA,2.5,"Restaurants, Sandwiches, Fast Food"
Chipotle Mexican Grill,vgdhAub1fJd-qNsOQE1xOw,Columbus,OH,3.0,"Fast Food, Restaurants, Mexican"
Tino's Greek Cafe,zMoukyvkKC0ZspzAMcOVRA,Austin,TX,3.5,"Greek, Mediterranean, Restaurants"
Sports Scene,M2v30GR2upnlAuX4rdNzjQ,Atlanta,GA,2.5,"Restaurants, American (Traditional)"
Jersey Mike's Subs,x4moVPp73vDfn_Vqfe39HQ,Portland,OR,3.5,"Food, Sandwiches, Restaurants, Delis, Fast Food"
Little Lagos,QS6REe6xBi2xagk8ajO79w,Atlanta,GA,3.5,"Restaurants, African"
Philly Cheesesteak Place,6DcaOhKuSj6TzSDH9xHOnQ,Atlanta,GA,3.5,"Cheesesteaks, Burgers, Restaurants, Sandwiches"
I Love Nick's Pizza,6AzuI31Em-kYjdS9rEf6fQ,Roslindale,MA,3.0,"Cheesesteaks, Pizza, Sandwiches, Salad, Restaurants, Burgers"
Pizzicato Pizza - Fremont,dQvDVf7rU8e_HdHyExYQrQ,Portland,OR,3.5,"Restaurants, Salad, Pizza"
Alberello Pizzeria,iq2n_LJgdZZ6FpoQZTpD2g,North Vancouver,BC,3.5,"Restaurants, Italian, Pizza"
Mississippi Studios,xtYM33fGJOQjA39Bs7CiUQ,Portland,OR,4.0,"Bars, Nightlife, Arts & Entertainment, Music Venues, Burgers, Restaurants"
Breakers,12I6IrRWL-WMCNrQT8XPsQ,Dunwoody,GA,4.0,"Korean, Barbeque, Asian Fusion, Restaurants"
Riverside Chinese Cafe,8Z_wslaLrEKBH_apqt-UKA,Kissimmee,FL,3.5,"Restaurants, Chinese"
Domino's Pizza,NuqgwleIR79Jrsk9hxS7mA,Winter Springs,FL,2.0,"Chicken Wings, Sandwiches, Pizza, Restaurants"
Front Page News,8wZNGlsd3n4nWm6klbh_-g,Atlanta,GA,3.5,"Restaurants, Sports Bars, Cajun/Creole, Nightlife, American (Traditional), Pubs, Tex-Mex, Bars, American (New)"
A&W,WgNlXrGZBzjTb-5vLr72SQ,Surrey,BC,2.5,"Fast Food, Restaurants, Burgers"
Don Julio Mexican Kitchen & Tequila Bar,9X28_JRy7rnqOsfGcjwz8w,Orlando,FL,4.5,"Mexican, Latin American, Restaurants, Cocktail Bars, Nightlife, Bars, Sports Bars"
Cherry Creek Catfish,Bkf1orK8EPMFz813bdLRVQ,Austin,TX,4.0,"Seafood, Restaurants, Comfort Food"
Smoothie King,FB2jbMpn_4s2-tHU3SWEtw,Atlanta,GA,3.5,"Food, Specialty Food, Juice Bars & Smoothies, Restaurants, Health Markets"
Rosati's Pizza,Ch9UE3OKibiLziTocasuKg,Apopka,FL,3.5,"Pizza, American (Traditional), Bars, Nightlife, Chicken Wings, Sports Bars, Restaurants, Italian"
Subway,gpCb5u_W_3RXUKO49h9IuQ,Brookline,MA,2.5,"Fast Food, Restaurants, Sandwiches"
William B. Travis Building Cafeteria,RZsq6IL8kinUvuIK-kdaoA,Austin,TX,3.0,"Restaurants, Fast Food, American (Traditional), Breakfast & Brunch"
Europol Polish Deli,wle1mODYUp9BE5ABiEh0nw,Winter Park,FL,4.5,"Restaurants, Delis, Specialty Food, Polish, Ethnic Food, Nightlife, Bars, Food, Beer Bar"
Pueblo Viejo Traila,mEUjYBoWX6onGMWhMz9gOQ,Austin,TX,4.0,"Food, Event Planning & Services, Food Trucks, Breakfast & Brunch, Restaurants, Mexican, Caterers"
Oakmont Food,6Gxs1T1lJJ1PlMWZIcEw_g,Austin,TX,4.5,"Coffee & Tea, American (Traditional), American (New), Food, Desserts, Restaurants, Bars, Cocktail Bars, Nightlife, Breakfast & Brunch"
Brush Sushi Izakaya,CuH3bS6kDql_xAw5n7ehjA,Decatur,GA,3.5,"Sushi Bars, Japanese, Gastropubs, Ramen, Restaurants, Izakaya"
Taco Shack,UnNDTOGGAIxKfxA2fCAXaA,Austin,TX,3.0,"Restaurants, Mexican"
Country Kitchen Donuts,hg-sb5A_D1f31Qu9qEiKVg,Walpole,MA,4.0,"Donuts, Food, Restaurants"
The Alley,fuKPtwD0JcQniFnMXlHq1g,Boston,MA,3.5,"Nightlife, Pool Halls, Pubs, Bars, Gay Bars, Dance Clubs"
Corner Bakery Cafe,czeylzYMfnmOiKN9W-rN8Q,Portland,OR,3.0,"Sandwiches, Coffee & Tea, Food, Cafes, Restaurants, Bakeries, Breakfast & Brunch"
Mandarin Palace,w-3cS-QPVPEIFxDc82Vi9Q,Portland,OR,3.0,"Karaoke, Chinese, Nightlife, Lounges, Bars, Restaurants, Food"
Jackknife,wdOO-3KV54Mq8mz_iN3uJA,Portland,OR,3.0,"Restaurants, Nightlife, Whiskey Bars, Southern, American (New), Cocktail Bars, Bars"
KFC,JIJDui86LIGJfCTSzVJHdA,Austin,TX,2.0,"Chicken Shop, Fast Food, Restaurants, Chicken Wings"
Zest,khzEaJUv384w6BnIMAg0gg,Orlando,FL,2.5,"American (New), Restaurants"
Ho Yuen Bakery,fXzoCuiQIs_T1juFdVt8XQ,Boston,MA,4.0,"Bakeries, Food, Restaurants"
National Taco Championships,TC41V3gSGASkE3eI5aOk9A,Austin,TX,3.5,"Arts & Entertainment, Tacos, Restaurants, Festivals, Local Flavor, Mexican"
Maxine's on Shine,9VHxc5UlFS1VMVh1UTXqew,Orlando,FL,4.5,"Bars, American (New), Mediterranean, Italian, Modern European, Nightlife, Wine Bars, Breakfast & Brunch, Restaurants"
Santiago Supermarket,mkkl_it1rxJ6e-5Z8ir-qQ,Hilliard,OH,4.5,"Restaurants, Food, Mexican, Grocery"
La Shish Kabab,pQpqsMPMsOB7ObYTevrtBA,Hapeville,GA,4.5,"Restaurants, Burgers, American (Traditional), Mediterranean, Halal, Sandwiches, Greek, Middle Eastern"
Jersey Mike's Subs,q6k23v3nk4kqySZwHTI0vA,Austin,TX,3.0,"Delis, Fast Food, Sandwiches, Restaurants"
Bamboo House,x4970Eo2eHRK7_sz9RhwFQ,Portland,OR,4.5,"Nightlife, Restaurants, Vietnamese, Bars, Thai"
Pho Chan,9PVhwcxOl_lmbIQJKtKZ_w,New Westminster,BC,4.0,"Vietnamese, Restaurants"
Sonic Drive-In,67YyY0CYMstt9SDUtvqHRQ,Austin,TX,1.5,"Food, Burgers, Fast Food, Ice Cream & Frozen Yogurt, Restaurants"
The Study Public House,Pn2yet1BUSiorcuzmwiYQw,Burnaby,BC,2.5,"Bars, Restaurants, Nightlife, Pubs, Gastropubs"
Tigers Garden,p-P6lkKVp356EK8mmQwIiQ,Vancouver,WA,3.5,"Thai, Restaurants"
Tea Zone Bakery & Cafe,gIIOGLIKYJf79WBbjeY84Q,Columbus,OH,4.0,"Coffee & Tea, Restaurants, Desserts, Korean, Bakeries, Tea Rooms, Food"
Vape 'N Brew,7gVrV5sd-EGcUgySZRezOw,Orlando,FL,5.0,"Hookah Bars, Adult Entertainment, Lounges, Pubs, Electronics, Bars, Vape Shops, Tobacco Shops, Nightlife, Sports Bars, Wine Bars, Shopping, Hobby Shops"
Yang's Dumplings,CXTsbhltf26t7L4WQvssBQ,Boston,MA,4.5,"Caterers, Chinese, Restaurants, Dim Sum, Event Planning & Services"
McClellan's Pub,CM-GoJwqUEVkN2KDETWh9w,Columbus,OH,4.0,"Pubs, Bars, Whiskey Bars, Irish Pub, Nightlife"
ichi Teriyaki 21,HI6piapT5Am9neYOL-Q9mw,Happy Valley,OR,3.5,"Chinese, Food, Restaurants, Asian Fusion"
Subway,ufZ8J2bwl4AztajkJdMkig,Boulder,CO,3.5,"Restaurants, Sandwiches, Fast Food"
Japadog,10Nm1R0CTRNvpz3cQE4WJw,Vancouver,BC,4.0,"Japanese, Hot Dogs, Restaurants, Food Stands"
Super Thai Food,V1qTyps4SsON2UHFQHy4Bg,Vancouver,BC,3.0,"Food Trucks, Restaurants, Thai, Food"
Mumtaz Market by G’Raj Mahal,ScBbhj2g3xJeivVjTw2t0w,Austin,TX,4.0,"Bars, Nightlife, Indian, Restaurants, Cocktail Bars, Wine Bars"
Formaggio Mio,3AO3c7V_g8q7Uhq2GamsHw,Atlanta,GA,4.0,"American (New), Italian, Pizza, Middle Eastern, Restaurants, Kosher, Salad"
Gringo,xotJvqXcjsDSnbL993L5rg,Vancouver,BC,4.5,"Pubs, Tex-Mex, Nightlife, Bars, Mexican, Restaurants"
McDonald's,vyw4S3_t2HaH-wVJFY3tuQ,Vancouver,WA,2.0,"Burgers, Coffee & Tea, Fast Food, Food, Restaurants"
Monterrey Mexican Restaurant,p_vbNPeQLzrNduY6-t759g,Tucker,GA,3.0,"Mexican, Restaurants, Tex-Mex, Seafood"
Roma's Quick Cafe,x2JvYSkY6fNXwg3J7V_ADg,Celebration,FL,4.5,"Food, Sandwiches, Wraps, Restaurants, Salad"
Burger King,wwdnmvdBypkftiyDbr0H7Q,Norwood,MA,2.0,"Burgers, Restaurants, Fast Food"
Sushi Bar Maumi,7_qZrRi_zs2GbnxmEAAVmQ,Vancouver,BC,4.0,"Sushi Bars, Japanese, Restaurants"
Antiques On High,W4jBpc2g9xFMIsimuYKiIg,Columbus,OH,4.5,"Brewpubs, Nightlife, Bars, Cocktail Bars, Breweries, Food"
Frisch's Big Boy,3R22-xgY1GTOZdTHnUDePA,Groveport,OH,3.0,"Diners, Restaurants, Breakfast & Brunch, Burgers, Food, Bed & Breakfast, Desserts, Hotels & Travel, American (Traditional)"
Christo's Cafe,nxETJJrJdGttAvfpsSyojg,Orlando,FL,4.0,"Coffee & Tea, American (Traditional), Restaurants, Food, Sandwiches, Burgers, Breakfast & Brunch"
Proccolino's Ristorante & Pizzeria UCF,UfIWKvxKXn5ja-9qdsHjKQ,Orlando,FL,3.0,"Restaurants, Pizza, Italian"
Moonlight Drive-In,uO4B_S0AZYHzbsA6On22dg,Titusville,FL,4.0,"Hot Dogs, Restaurants, Burgers, Fast Food"
Olive Garden Italian Restaurant,FJ-r3hOMbcq0p7Z5yH9oew,Kissimmee,FL,3.5,"Italian, Wine Bars, Nightlife, Salad, Bars, Restaurants, Soup"
Battle & Brew,8AuXO56lW2hT1YuFn5pkuA,Sandy Springs,GA,4.0,"American (New), Arcades, Books, Mags, Music & Video, Restaurants, Arts & Entertainment, Bars, Shopping, Videos & Video Game Rental, Nightlife"
Munch,bJ7OF_QmaHeRzkWDCU7BOQ,Lake Oswego,OR,4.0,"Delis, Event Planning & Services, Breakfast & Brunch, Caterers, American (New), American (Traditional), Creperies, Sandwiches, Restaurants"
Spice Mill,-fOm_lzGhqZ20lz_F9wtBg,Orlando,FL,2.0,"Sandwiches, Restaurants"
Bar Louie,UnJbcWiIgXdYMgmmRw2Vog,Orlando,FL,4.0,"Sports Bars, Nightlife, Restaurants, American (Traditional), American (New), Bars, Gastropubs"
Blanca's Bakery & Restaurant,voRZfyJmS4fuEegebpYV9Q,Revere,MA,3.0,"Salvadoran, Seafood, Bakeries, Coffee & Tea, Latin American, Restaurants, Food"
Dunkin',hNHTqLA5jCwvKzjk3KyIDQ,Atlanta,GA,3.0,"Coffee & Tea, Donuts, Restaurants, Food"
Thai Kitchen,TIWoJ8aLs2eaClCbgsyOcQ,Richmond,BC,2.5,"Thai, Restaurants"
Rosati's Pizza and Sports Pub,DqiCqjFOVAwOFd_LdMBy6w,Atlanta,GA,3.5,"Pizza, Nightlife, Sports Bars, Chicken Wings, Bars, Restaurants, Sandwiches"
House of Blues Boston- Music Venue,qbpJFE-XlspCCk3PWhZ0AA,Boston,MA,2.5,"Venues & Event Spaces, Restaurants, Jazz & Blues, Music Venues, Arts & Entertainment, American (New), Musicians, Nightlife, Event Planning & Services, Bars"
Creature Coffee,CqvIbOPSeWkliJny7gdoiQ,Austin,TX,5.0,"Food, Restaurants, Event Planning & Services, Cafes, Street Vendors, Tea Rooms, Caterers, Coffee & Tea, Breakfast & Brunch"
The University of Texas Club,4rrjlL0c9MMeDF9Vj3e4mw,Austin,TX,4.0,"Wedding Planning, Event Planning & Services, Education, Restaurants, Social Clubs, Arts & Entertainment, American (New), Colleges & Universities, Venues & Event Spaces"
Subway,yC_GYjizgr8_jcsmVMcBWQ,Dublin,OH,3.5,"Restaurants, Food, Sandwiches, Fast Food"
Thyme,HmppTb0qy8DV3J71IgJRIw,Canton,MA,4.5,"Mediterranean, Food, Restaurants, Bakeries, Middle Eastern, Sandwiches"
Yonder,9mmALqxB_e16e5NK7Jt-GA,Portland,OR,3.5,"Chicken Wings, Cocktail Bars, Desserts, Bars, Nightlife, Comfort Food, Food, Restaurants, American (Traditional), Southern"
Subway,tHIU1DO-R15AmWbXWMtX4w,Austin,TX,2.5,"Sandwiches, Restaurants, Fast Food"
Maki of Japan,pUuuBWrx8ph59Lg8isrtcA,Sanford,FL,3.0,"Restaurants, Japanese"
Zocalo Modern Cantina,T1Bot3Hg8RFPtAUKE_fMYg,Vancouver,BC,4.5,"Restaurants, Latin American, Tapas Bars, Tapas/Small Plates"
McDonald's,-Iv0DEJDr_F6urwThI2Sew,Winter Garden,FL,2.5,"Restaurants, Burgers, Coffee & Tea, Food, Fast Food"
KFC,Q6g7UhjLo-tXdsFcIhZ8-w,Columbus,OH,2.5,"Chicken Wings, Restaurants, Fast Food, Chicken Shop"
Curry Mantra,kqkKKqJ6ng9Jj_1KW0IkVw,Orlando,FL,4.5,"Beer Bar, Indian, Bars, Nightlife, Restaurants, Wine Bars"
Asian Festival,0sQcfc4Cr9a8iOG6iaHrdQ,Columbus,OH,3.5,"Vietnamese, Local Flavor, Chinese, Korean, Indonesian, Arts & Entertainment, Burmese, Restaurants, Malaysian, Community Service/Non-Profit, Singaporean, Japanese, Festivals, Cambodian, Mongolian, Local Services, Filipino"
Buckhead,BGQvpRBtkHNV2khR0fn0Xw,Atlanta,GA,4.0,"Restaurants, Local Flavor, Active Life, American (New), Shopping Centers, Recreation Centers, Shopping"
Freshii,XQ4f_1703kjd7WTBwSNQ5Q,North Vancouver,BC,3.0,"Salad, Soup, Sandwiches, Ice Cream & Frozen Yogurt, Fast Food, Vegetarian, Food, Juice Bars & Smoothies, Restaurants"
Malee's Thai Kitchen,zoH3uQn5-HP9Y4-zzlgkfQ,Lake Oswego,OR,4.0,"Thai, Restaurants"
Omega Pizza,C7gZ0a_FmupE2cY_gc4RjQ,Salem,MA,4.0,"Restaurants, Pizza"
Wendy's,fY1_r0xH3GpEOstUPjzw4g,Portland,OR,2.5,"Restaurants, Fast Food, Burgers"
Sweet Basil,0Iva7qdGwb_Vv596pUdRtQ,Needham,MA,4.5,"Italian, Restaurants"
Tammys On Broadway,z5RE6YT8SxDM4JQQBO-FmQ,Grove City,OH,3.5,"Restaurants, Pizza"
Freshii,MxVrgXEfx6v8I5yz0Y5mdQ,Vancouver,WA,3.5,"Restaurants, Fast Food, American (New), Salad, Vegetarian"
Pizza Hut,77dpU18_2PEPzQgIpeH3Wg,Clermont,FL,1.5,"Italian, Pizza, Chicken Wings, Restaurants"
Taco Del Sol,sfJsMml9fwmLzYpCsnI2CQ,Tigard,OR,4.0,"Restaurants, Mexican"
Krispy Kreme,FohtKEmfg004hKFQkK_2Mw,Austin,TX,3.5,"Restaurants, Donuts, Coffee & Tea, Food"
QuikTrip,w-x0BZ0sAvLBixKzcFipkg,Atlanta,GA,4.5,"Automotive, Gas Stations, Restaurants, Convenience Stores, Fast Food, Food"
Goldberg's Fine Food - Concourse A,AqdjwJJEFYZNQ401z2CoZg,Atlanta,GA,1.5,"Restaurants, Delis"
Little Greek Fresh Grill,4oLgSAxDdfDhzW_5PB4wEA,Kissimmee,FL,4.0,"Restaurants, Greek, Mediterranean, Salad, Vegetarian"
Waffle House,XR_H4y2nvbkBHqqXrS0mEA,Atlanta,GA,3.0,"American (New), Breakfast & Brunch, Waffles, Diners, Restaurants, American (Traditional)"
The Ridge Golf and Gardens,eb4NLj2AM8s1JhOx9kn1KQ,Marysville,OH,4.0,"Sports Bars, Golf, Active Life, Venues & Event Spaces, Nightlife, Event Planning & Services, Bars, Restaurants, Chicken Wings"
Thirsty Duck Saloon,5YJAj2xCesZIn3_f28OPeA,Oregon City,OR,4.0,"Restaurants, Nightlife, Burgers, Pubs, Bars, Cocktail Bars"
One Under,tTfGAYRi9SFaAuLw8HYX6w,Vancouver,BC,4.0,"Sports Bars, Pizza, Active Life, Canadian (New), Nightlife, Restaurants, Bars, Golf"
Landry's Seafood House,9Dfzy7gBTzxdCz7jZDRJPw,Orlando,FL,3.5,"Steakhouses, Seafood, American (Traditional), Restaurants"
Asador,nNLO8Tb8YpzbueWDvsBujw,Austin,TX,4.5,"Mexican, Tacos, Restaurants, Food Stands"
Onemart,YAETRPl9jvRz75kgyDfOkw,Portland,OR,4.5,"Indian, Convenience Stores, Restaurants, Grocery, Food"
Zoes Kitchen,Kg3SGK4YTfJd0tzw9HjLyA,Winter Park,FL,3.5,"Mediterranean, Kebab, Sandwiches, Salad, Restaurants, Greek"
